OBJECTID;stop_id;stop_code;stop_name;stop_desc;E1 Υπάρχει Στέγαστρο?;E2 Υπάρχει κάθισμα?;Ε3 Ορατότητα;Ε4 Εξοχή πεζοδρομίου;Ε5 Τηλεματική;Ε6 Καθαριότητα;Σταθμός ΜΕΤΡΟ
963;61567;61567;ΕΛΕΝΑΣ ΒΕΝΙΖΕΛΟΥ;Επί της ΠΑΝΑΓΗ ΚΥΡΙΑΚΟΥ;Όχι;Όχι;Κακή;Όχι;Όχι;Μέτρια;
964;61568;61568;ΑΓ.ΜΕΛΕΤΙΟΣ;Επί της ΑΓ.ΜΕΛΕΤΙΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Κακή;
965;61569;61569;Α'ΝΕΚΡΟΤΑΦΕΙΟ;Επί της ΥΜΗΤΤΟΥ;Όχι;Όχι;Κακή;Όχι;Όχι;Μέτρια;
966;61590;61590;ΣΥΓΓΡΟΥ;Επί της ΑΘ.ΔΙΑΚΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Καλή;
967;61591;61591;ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ;Επί της ΧΑΡ.ΤΡΙΚΟΥΠΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Κακή;Όχι;Όχι;Καλή;
968;61592;61592;ΠΟΛΥΤΕΧΝΕΙΟ;Επί της ΣΤΟΥΡΝΑΡΗ;Όχι;Όχι;Καλή;Ναι;Όχι;Μέτρια;
969;61593;61593;ΑΜΕΡΙΚΗΣ;Επί της ΑΚΑΔΗΜΙΑΣ;Όχι;Όχι;Καλή;Όχι;Όχι;Καλή;
970;61594;61594;ΚΑΣΟΜΟΥΛΗ;Επί της ΦΡΑΝΤΖΗ;Όχι;Όχι;Κακή;Όχι;Όχι;Καλή;
971;61595;61595;ΜΕΝΕΚΡΑΤΟΥΣ;Επί της ΛΕΩΦ.ΚΑΦΑΝΤΑΡΗ;Όχι;Όχι;Καλή;Όχι;Όχι;Κακή;
972;61598;61598;ΚΑΡΑΝΙΚΑ;Επί της ΜΕΣΟΓΕΙΩΝ;Στοά, χωρίς στέγαστρο;Όχι;Καλή;Όχι;Ναι;Μέτρια;
973;61600;61600;ΗΛΙΟΥΠΟΛΕΩΣ;Επί της ΥΜΗΤΤΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Καλή;
974;61602;61602;ΦΙΞ;Επί της ΚΑΛΛΙΡΡΟΗΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
975;61604;61604;ΦΙΛΑΔΕΛΦΕΙΑΣ;Επί της ΦΙΛΑΔΕΛΦΕΙΑΣ;Όχι;Όχι;Καλή;Όχι;Όχι;Καλή;
976;61605;61605;ΑΦΕΤΗΡΙΑ;Επί της ΜΕΝΑΝΔΡΟΥ;Ναι, καλή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Όχι;Κακή;
977;61606;61606;ΠΑΡΚΟ ΕΥΕΛΠΙΔΩΝ;Επί της ΕΥΕΛΠΙΔΩΝ;Όχι;Όχι;Κακή;Όχι;Όχι;Μέτρια;
978;61607;61607;ΠΛ.ΑΓ.ΠΑΝΤΕΛΕΗΜΟΝΑ;Επί της ΑΓΟΡΑΚΡΙΤΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Καλή;
979;70024;70024;ΠΑΛ.ΚΑΒΑΛΑΣ;Επί της ΠΑΡΑΔΡΟΜΟ ΛΕΩΦ.ΚΗΦΙΣΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Κακή;
980;140026;140026;ΝΕΟ ΠΑΓΚΡΑΤΙ;Επί της ΝΙΚ.ΝΙΚΗΦΟΡΙΔΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Ναι;Ναι;Καλή;
981;150001;150001;ΛΙΝΑΡΑ;Επί της ΛΕΩΦ.ΓΑΛΑΤΣΙΟΥ;Όχι;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Ναι;Μέτρια;
